"id","submitdate","lastpage","startlanguage","startdate","datestamp","random","Course[CPlan]","Course[CFam]","Course[CJust]","Marche[MPlan]","Marche[MFam]","Marche[MJust]","age","Genre","CSP","CSP[other]","Diplome","Diplome[other]","CapEco","EnvCS[SQ001]","EnvPSubj[SQ001]","EnvPObj","Engagement","autre"
"406","2025-01-20 11:31:35","4","fr","2025-01-20 11:21:17","2025-01-20 11:31:35","1","","","","25","39","79","19","Homme","Etudiant(e)s","","Bac (Baccalauréat, DAEU, Capacité en droit, DSP)","","- de 15 000€","20","70","Bourg : de 2 000 à 5 000 habitants","5","Je vais en cours en vélo et je ne fais pas de sport en club "
"407","2025-01-20 11:29:14","4","fr","2025-01-20 11:21:59","2025-01-20 11:29:14","0","82","18","74","","","","19","Homme","Etudiant(e)s","","Bac (Baccalauréat, DAEU, Capacité en droit, DSP)","","- de 15 000€","26","79","Ville moyenne : de 20 000 à 50 000 habitants","5","Je fais du vélo pour faire un trajet quotidien."
"409","2025-01-20 11:41:27","4","fr","2025-01-20 11:34:05","2025-01-20 11:41:27","1","","","","78","75","29","19","Femme","Etudiant(e)s","","Bac (Baccalauréat, DAEU, Capacité en droit, DSP)","","- de 15 000€","67","90","Métropole : plus de 200 000 habitants","8","J’ai mis 8 activités sportives par semaine car je vais à l’école à pied (25min de marche) et je rentre à pied. Je me suis sentie assez concernée car vous décriviez une situation où je serai « épuisée par ma semaine » or c’est vraiment toujours le cas. Mais j’ai mis un taux haut dans les 100% pour ma volonté à faire l’effort de marcher car premièrement je n’ai pas vraiment le choix (pas le choix d’aller à l’école haha) mais en réalité je pense que c’est le bon taux car même si je n’étais pas obligée, je m’y mettrais. 
De plus, malgré toute cette marche (environ 3km par jour), je trouve que ce n’est vraiment pas assez et je me sens très faible musculairement et physiquement. "
"410","2025-01-20 12:06:07","4","fr","2025-01-20 11:40:10","2025-01-20 12:06:07","0","30","42","69","","","","18","Homme","Etudiant(e)s","","Bac (Baccalauréat, DAEU, Capacité en droit, DSP)","","- de 15 000€","31","70","Village : moins de 2 000 habitants","12","Je fais de la natation le dimanche matin"
"412","2025-01-20 12:18:35","4","fr","2025-01-20 12:13:57","2025-01-20 12:18:35","0","25","60","50","","","","19","Homme","Etudiant(e)s","","Bac (Baccalauréat, DAEU, Capacité en droit, DSP)","","- de 15 000€","12","100","Petite ville : de 5 000 à 20 000 habitants","1",""
"414","2025-01-20 12:17:55","4","fr","2025-01-20 12:16:32","2025-01-20 12:17:55","1","","","","7","69","82","33","Homme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","42","57","Grande ville : de 50 000 à 200 000 habitants","5",""
"416","2025-01-20 13:04:57","4","fr","2025-01-20 13:03:00","2025-01-20 13:04:57","1","","","","85","92","75","19","Femme","Etudiant(e)s","","Bac + 2 (DEUG, BTS, DUT, DEUST)","","- de 15 000€","28","31","Village : moins de 2 000 habitants","2",""
"417","2025-01-20 13:54:23","4","fr","2025-01-20 13:48:36","2025-01-20 13:54:23","0","100","100","87","","","","62","Femme","Cadres et professions intellectuelles supérieures","","Bac + 2 (DEUG, BTS, DUT, DEUST)","","30 000 - 60 000€","28","100","Bourg : de 2 000 à 5 000 habitants","7","Je suis formatrice en marche nordique bénévole et je vois les bénéfices de la pratique régulière d'activité pour moi et les personnes que j'encadre ( meilleur état physique général, une vie sociale plus riche et de l'envie et des sourires) Très belle journée "
"418","2025-01-20 13:58:09","4","fr","2025-01-20 13:50:35","2025-01-20 13:58:09","0","61","71","50","","","","29","Femme","Employé(e)s","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","36","90","Métropole : plus de 200 000 habitants","5","Je marche autant que possible quitte à descendre un ou deux arrêts de tram plus tôt. J'essaie d'avoir 2 à 3 entraînements d'une heure par semaine. Je bouge presque tous les jours en respectant le rythme de mon corps."
"419","2025-01-20 14:33:10","4","fr","2025-01-20 14:29:59","2025-01-20 14:33:10","0","100","80","100","","","","24","Femme","Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","- de 15 000€","87","33","Village : moins de 2 000 habitants","6",""
"420","2025-01-20 15:36:35","4","fr","2025-01-20 15:29:29","2025-01-20 15:36:35","1","","","","90","90","90","33","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","65","60","Grande ville : de 50 000 à 200 000 habitants","2",""
"421","2025-01-20 15:52:38","4","fr","2025-01-20 15:49:35","2025-01-20 15:52:38","0","75","75","95","","","","47","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","","85","Village : moins de 2 000 habitants","5",""
"422","2025-01-20 16:19:19","4","fr","2025-01-20 16:15:56","2025-01-20 16:19:19","0","75","50","50","","","","44","Femme","Cadres et professions intellectuelles supérieures","","Bac + 4 (Maîtrise)","","30 000 - 60 000€","88","71","Bourg : de 2 000 à 5 000 habitants","5",""
"423","2025-01-20 16:33:02","4","fr","2025-01-20 16:31:11","2025-01-20 16:33:02","0","66","80","19","","","","36","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","73","36","Village : moins de 2 000 habitants","2",""
"424","2025-01-20 16:46:58","4","fr","2025-01-20 16:44:06","2025-01-20 16:46:58","0","30","58","24","","","","20","Femme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","15 000 - 30 000€","71","69","Métropole : plus de 200 000 habitants","0",""
"426","2025-01-20 18:58:01","4","fr","2025-01-20 18:55:49","2025-01-20 18:58:01","1","","","","42","0","17","47","Femme","Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","22","82","Bourg : de 2 000 à 5 000 habitants","3",""
